subject_id,scenario_label,intimacy,motivation,action,p_action
0872f56d-77a1-55ee-a5a1-726393de53df,takeout,75,high,2,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,takeout,75,high,3,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,wedding,75,high,0,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,wedding,75,high,1,0.12
0872f56d-77a1-55ee-a5a1-726393de53df,wedding,75,high,2,0.64
0872f56d-77a1-55ee-a5a1-726393de53df,wedding,75,high,3,0.12
0d8efafa-c343-5c93-b244-201b9956a453,apples,100,low,0,0.13
0d8efafa-c343-5c93-b244-201b9956a453,apples,100,low,1,0.21
0d8efafa-c343-5c93-b244-201b9956a453,apples,100,low,2,0.3
0d8efafa-c343-5c93-b244-201b9956a453,apples,100,low,3,0.36
0d8efafa-c343-5c93-b244-201b9956a453,basketball,0,high,0,0.13
0d8efafa-c343-5c93-b244-201b9956a453,basketball,0,high,1,0.62
0d8efafa-c343-5c93-b244-201b9956a453,basketball,0,high,2,0.2
0d8efafa-c343-5c93-b244-201b9956a453,basketball,0,high,3,0.05
0d8efafa-c343-5c93-b244-201b9956a453,birthday,0,low,0,0.4
0d8efafa-c343-5c93-b244-201b9956a453,birthday,0,low,1,0.43
0d8efafa-c343-5c93-b244-201b9956a453,birthday,0,low,2,0.14
0d8efafa-c343-5c93-b244-201b9956a453,birthday,0,low,3,0.03
0d8efafa-c343-5c93-b244-201b9956a453,brunch,0,low,0,0.23
0d8efafa-c343-5c93-b244-201b9956a453,brunch,0,low,1,0.38
0d8efafa-c343-5c93-b244-201b9956a453,brunch,0,low,2,0.26
0d8efafa-c343-5c93-b244-201b9956a453,brunch,0,low,3,0.13
0d8efafa-c343-5c93-b244-201b9956a453,cooking,75,low,0,0.19
0d8efafa-c343-5c93-b244-201b9956a453,cooking,75,low,1,0.37
0d8efafa-c343-5c93-b244-201b9956a453,cooking,75,low,2,0.22
0d8efafa-c343-5c93-b244-201b9956a453,cooking,75,low,3,0.22
0d8efafa-c343-5c93-b244-201b9956a453,dip,50,high,0,0.05
0d8efafa-c343-5c93-b244-201b9956a453,dip,50,high,1,0.41
0d8efafa-c343-5c93-b244-201b9956a453,dip,50,high,2,0.36
0d8efafa-c343-5c93-b244-201b9956a453,dip,50,high,3,0.18
0d8efafa-c343-5c93-b244-201b9956a453,drinks,75,low,0,0.5
0d8efafa-c343-5c93-b244-201b9956a453,drinks,75,low,1,0.3
0d8efafa-c343-5c93-b244-201b9956a453,drinks,75,low,2,0.15
0d8efafa-c343-5c93-b244-201b9956a453,drinks,75,low,3,0.05
0d8efafa-c343-5c93-b244-201b9956a453,driving,50,low,0,0.22
0d8efafa-c343-5c93-b244-201b9956a453,driving,50,low,1,0.43
0d8efafa-c343-5c93-b244-201b9956a453,driving,50,low,2,0.23
0d8efafa-c343-5c93-b244-201b9956a453,driving,50,low,3,0.12
0d8efafa-c343-5c93-b244-201b9956a453,fair,100,high,0,0.06
0d8efafa-c343-5c93-b244-201b9956a453,fair,100,high,1,0.16
0d8efafa-c343-5c93-b244-201b9956a453,fair,100,high,2,0.39
0d8efafa-c343-5c93-b244-201b9956a453,fair,100,high,3,0.39
0d8efafa-c343-5c93-b244-201b9956a453,gala,50,low,0,0.7
0d8efafa-c343-5c93-b244-201b9956a453,gala,50,low,1,0.21
0d8efafa-c343-5c93-b244-201b9956a453,gala,50,low,2,0.07
0d8efafa-c343-5c93-b244-201b9956a453,gala,50,low,3,0.02
0d8efafa-c343-5c93-b244-201b9956a453,hike,50,high,0,0.06
0d8efafa-c343-5c93-b244-201b9956a453,hike,50,high,1,0.57
